"""key""","""en""","""es""","""sc""","""fr"""
"""game_title""","""RAT IT DOWN<3""","""RAT IT DOWN<3""","""RAT IT DOWN<3""","""RAT IT DOWN<3"""
"""play""","""Play""","""Jugar""","""玩""","""Jouer"""
"""settings""","""Settings""","""Configuraciones""","""设定值""","""Paramètres"""
"""credits""","""Credits""","""Creditos""","""学分""","""Crédits"""
"""fullscreen""","""Fullscreen""","""Pantalla completa""","""全屏""","""Plein écran"""
"""music_volume""","""Music Volume""","""Volumen de la música""","""音乐音量""","""Volume musique"""
"""effects_volume""","""Effects Volume""","""Volumen de efectos""","""效果量""","""Volume effets"""
"""keyboard_controls""","""Keyboard Controls""","""Controles de teclado""","""键盘控制""","""Controles clavier"""
"""gamepad_controls""","""Gamepad Controls""","""Controles de gamepad""","""游戏手柄控件""","""Controles manette"""
"""language""","""Language""","""Idioma""","""语言""","""Langue"""
"""exit""","""Exit""","""Salida""","""出口""","""Quitter"""
"""select""","""Select/Interact""","""Seleccione""","""选择""","""Selectionner/Interagir"""
"""jump""","""Jump""","""Saltar""","""跳""","""Sauter"""
"""grab""","""Grab""","""Agarrar""","""抓住""","""Saisir"""
"""dash""","""Dash""","""Dash""","""短跑""","""Dash"""
"""primaryattack""","""Primary Attack""","""Ataque primario""","""主要攻击""","""Attaque principale"""
"""secondaryattack""","""Secondary Attack""","""Ataque secundario""","""二次攻击""","""Attaque secondaire"""
"""back""","""Back""","""Atrás""","""背部""","""Retour"""
"""up""","""Up""","""Arriba""","""向上""","""Haut"""
"""down""","""Down""","""Abajo""","""下""","""Bas"""
"""left""","""Left""","""Izquierda""","""剩下""","""Gauche"""
"""right""","""Right""","""Derecha""","""对""","""Droite"""
"""restore_defaults""","""Restore Defaults""","""Restaurar los valores predeterminados""","""恢复默认值""","""Restaurer les paramètres par défaut"""
"""see_remap""","""See/Remap""","""Ver/Reasignar""","""查看/重新映射""","""Voir/Remapper"""
"""yes""","""Yes""","""Sí""","""是""","""Oui"""
"""no""","""No""","""No""","""否""","""Non"""
"""control_help""","""Select control to remap""","""Seleccionar control para reasignar""","""选择要重映射的控件""","""Selectionner une touche"""
"""music""","""Music""","""Música""","""音乐""","""Musique"""
"""sound""","""Sound""","""Sonido""","""声音""","""Son"""
"""design_and_programming""","""Design and Programming""","""Diseño y Programación""","""设计与编程""","""Design et développement"""